Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,100,50948,14.152222222222223,C2,378,0.046753246753246755,485,515
GFP,100,50948,14.152222222222223,C3,420,0.05194805194805195,485,515
GFP,100,50948,14.152222222222223,C4,424,0.05244279529993816,485,515
GFP,100,50948,14.152222222222223,C5,421,0.0520717377860235,485,515
GFP,100,50948,14.152222222222223,C6,260,0.032158317872603585,485,515
GFP,100,50948,14.152222222222223,C7,447,0.05528756957328386,485,515
GFP,100,50948,14.152222222222223,C8,399,0.04935064935064935,485,515
GFP,100,50948,14.152222222222223,C9,282,0.034879406307977735,485,515
GFP,100,50948,14.152222222222223,C10,410,0.05071119356833643,485,515
GFP,100,50948,14.152222222222223,C11,364,0.045021645021645025,485,515
GFP,100,50948,14.152222222222223,C12,258,0.03191094619666048,485,515
GFP,100,50948,14.152222222222223,D1,3469,0.42906617192331475,485,515
GFP,100,50948,14.152222222222223,D2,3078,0.38070500927643786,485,515
GFP,100,50948,14.152222222222223,D3,3414,0.42226345083487943,485,515
GFP,100,50948,14.152222222222223,D4,3400,0.4205318491032777,485,515
GFP,100,50948,14.152222222222223,D5,3027,0.3743970315398887,485,515
GFP,100,50948,14.152222222222223,D6,3355,0.41496598639455784,485,515
GFP,100,50948,14.152222222222223,D7,3397,0.42016079158936304,485,515
GFP,100,50948,14.152222222222223,D8,3042,0.37625231910946194,485,515
GFP,100,50948,14.152222222222223,D9,3262,0.40346320346320347,485,515
GFP,100,50948,14.152222222222223,D10,3208,0.39678416821273965,485,515
GFP,100,50948,14.152222222222223,D11,3009,0.3721706864564007,485,515
GFP,100,50948,14.152222222222223,D12,3239,0.40061842918985774,485,515
GFP,100,50948,14.152222222222223,E1,3541,0.4379715522572665,485,515
GFP,100,50948,14.152222222222223,E2,3719,0.45998763141620286,485,515
GFP,100,50948,14.152222222222223,E3,3471,0.4293135435992579,485,515
GFP,100,50948,14.152222222222223,E4,3413,0.42213976499690786,485,515
GFP,100,50948,14.152222222222223,E5,3632,0.4492269635126778,485,515
GFP,100,50948,14.152222222222223,E6,3233,0.39987631416202846,485,515
GFP,100,50948,14.152222222222223,E7,3439,0.42535559678416823,485,515
GFP,100,50948,14.152222222222223,E8,3651,0.4515769944341373,485,515
GFP,100,50948,14.152222222222223,E9,3268,0.40420531849103275,485,515
GFP,100,50948,14.152222222222223,E10,3316,0.4101422387136673,485,515
GFP,100,50948,14.152222222222223,E11,3572,0.44180581323438467,485,515
GFP,100,50948,14.152222222222223,E12,3115,0.3852813852813853,485,515
GFP,100,50948,14.152222222222223,F1,297,0.036734693877551024,485,515
GFP,100,50948,14.152222222222223,F2,309,0.03821892393320965,485,515
GFP,100,50948,14.152222222222223,F3,306,0.03784786641929499,485,515
GFP,100,50948,14.152222222222223,F4,301,0.03722943722943723,485,515
GFP,100,50948,14.152222222222223,F5,292,0.03611626468769326,485,515
GFP,100,50948,14.152222222222223,F6,284,0.03512677798392084,485,515
GFP,100,50948,14.152222222222223,F7,303,0.037476808905380334,485,515
GFP,100,50948,14.152222222222223,F8,288,0.03562152133580705,485,515
GFP,100,50948,14.152222222222223,F9,273,0.033766233766233764,485,515
GFP,100,50948,14.152222222222223,F10,307,0.03797155225726654,485,515
GFP,100,50948,14.152222222222223,F11,308,0.0380952380952381,485,515
GFP,100,50948,14.152222222222223,F12,279,0.03450834879406308,485,515
GFP,100,50948,14.152222222222223,G1,285,0.03525046382189239,485,515
GFP,100,50948,14.152222222222223,G2,304,0.037600494743351885,485,515
GFP,100,50948,14.152222222222223,G3,319,0.03945578231292517,485,515
GFP,100,50948,14.152222222222223,G4,253,0.031292517006802724,485,515
GFP,100,50948,14.152222222222223,G5,282,0.034879406307977735,485,515
GFP,100,50948,14.152222222222223,G6,282,0.034879406307977735,485,515
GFP,100,50948,14.152222222222223,G7,300,0.03710575139146568,485,515
GFP,100,50948,14.152222222222223,G8,270,0.03339517625231911,485,515
GFP,100,50948,14.152222222222223,G9,281,0.034755720470006184,485,515
GFP,100,50948,14.152222222222223,G10,303,0.037476808905380334,485,515
GFP,100,50948,14.152222222222223,G11,319,0.03945578231292517,485,515
GFP,100,50948,14.152222222222223,G12,270,0.03339517625231911,485,515
GFP,100,50948,14.152222222222223,H1,234,0.02894248608534323,485,515
GFP,100,50948,14.152222222222223,H2,275,0.034013605442176874,485,515
GFP,100,50948,14.152222222222223,H3,307,0.03797155225726654,485,515
GFP,100,50948,14.152222222222223,H4,305,0.03772418058132344,485,515
GFP,100,50948,14.152222222222223,H5,302,0.03735312306740878,485,515
GFP,100,50948,14.152222222222223,H6,282,0.034879406307977735,485,515
GFP,100,50948,14.152222222222223,H7,244,0.030179344465058752,485,515
GFP,100,50948,14.152222222222223,H8,305,0.03772418058132344,485,515
GFP,100,50948,14.152222222222223,H9,306,0.03784786641929499,485,515
GFP,100,50948,14.152222222222223,H10,282,0.034879406307977735,485,515
GFP,100,50948,14.152222222222223,H11,255,0.03153988868274583,485,515
GFP,100,50948,14.152222222222223,H12,290,0.035868893011750155,485,515
GFP,100,51248,14.235555555555555,A1,305,0.03772418058132344,485,515
GFP,100,51248,14.235555555555555,A2,301,0.03722943722943723,485,515
GFP,100,51248,14.235555555555555,A3,323,0.03995052566481138,485,515
GFP,100,51248,14.235555555555555,A4,264,0.0326530612244898,485,515
GFP,100,51248,14.235555555555555,A5,292,0.03611626468769326,485,515
GFP,100,51248,14.235555555555555,A6,272,0.03364254792826221,485,515
GFP,100,51248,14.235555555555555,A7,285,0.03525046382189239,485,515
