Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,61,600,0.16666666666666666,C6,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,C7,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,C8,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,C9,0,0.0,485,515
GFP,61,600,0.16666666666666666,C10,2,0.0017691287041132243,485,515
GFP,61,600,0.16666666666666666,D1,10,0.008845643520566122,485,515
GFP,61,600,0.16666666666666666,D2,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,D3,12,0.010614772224679346,485,515
GFP,61,600,0.16666666666666666,D4,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,D5,12,0.010614772224679346,485,515
GFP,61,600,0.16666666666666666,D6,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,D7,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,D8,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,D9,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,D10,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,E1,0,0.0,485,515
GFP,61,600,0.16666666666666666,E2,10,0.008845643520566122,485,515
GFP,61,600,0.16666666666666666,E3,9,0.00796107916850951,485,515
GFP,61,600,0.16666666666666666,E4,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,E5,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,E6,3,0.0026536930561698365,485,515
GFP,61,600,0.16666666666666666,E7,5,0.004422821760283061,485,515
GFP,61,600,0.16666666666666666,E8,10,0.008845643520566122,485,515
GFP,61,600,0.16666666666666666,E9,1,0.0008845643520566122,485,515
GFP,61,600,0.16666666666666666,E10,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,F1,11,0.009730207872622732,485,515
GFP,61,600,0.16666666666666666,F2,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,F3,13,0.011499336576735958,485,515
GFP,61,600,0.16666666666666666,F4,6,0.005307386112339673,485,515
GFP,61,600,0.16666666666666666,F5,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,F6,7,0.006191950464396285,485,515
GFP,61,600,0.16666666666666666,F7,12,0.010614772224679346,485,515
GFP,61,600,0.16666666666666666,F8,13,0.011499336576735958,485,515
GFP,61,600,0.16666666666666666,F9,2,0.0017691287041132243,485,515
GFP,61,600,0.16666666666666666,F10,3,0.0026536930561698365,485,515
GFP,61,600,0.16666666666666666,G1,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,G2,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,G3,4,0.0035382574082264487,485,515
GFP,61,600,0.16666666666666666,G4,0,0.0,485,515
GFP,61,600,0.16666666666666666,G5,4,0.0035382574082264487,485,515
GFP,61,600,0.16666666666666666,G6,2,0.0017691287041132243,485,515
GFP,61,600,0.16666666666666666,G7,8,0.007076514816452897,485,515
GFP,61,600,0.16666666666666666,G8,2,0.0017691287041132243,485,515
GFP,61,600,0.16666666666666666,G9,3,0.0026536930561698365,485,515
GFP,61,600,0.16666666666666666,G10,0,0.0,485,515
GFP,61,900,0.25,A1,11,0.009730207872622732,485,515
GFP,61,900,0.25,A2,8,0.007076514816452897,485,515
GFP,61,900,0.25,A3,9,0.00796107916850951,485,515
GFP,61,900,0.25,A4,6,0.005307386112339673,485,515
GFP,61,900,0.25,A5,9,0.00796107916850951,485,515
GFP,61,900,0.25,A6,8,0.007076514816452897,485,515
GFP,61,900,0.25,A7,5,0.004422821760283061,485,515
GFP,61,900,0.25,A8,3,0.0026536930561698365,485,515
GFP,61,900,0.25,A9,13,0.011499336576735958,485,515
GFP,61,900,0.25,A10,7,0.006191950464396285,485,515
GFP,61,900,0.25,B1,8,0.007076514816452897,485,515
GFP,61,900,0.25,B2,7,0.006191950464396285,485,515
GFP,61,900,0.25,B3,5,0.004422821760283061,485,515
GFP,61,900,0.25,B4,14,0.01238390092879257,485,515
GFP,61,900,0.25,B5,5,0.004422821760283061,485,515
GFP,61,900,0.25,B6,8,0.007076514816452897,485,515
GFP,61,900,0.25,B7,4,0.0035382574082264487,485,515
GFP,61,900,0.25,B8,6,0.005307386112339673,485,515
GFP,61,900,0.25,B9,12,0.010614772224679346,485,515
GFP,61,900,0.25,B10,7,0.006191950464396285,485,515
GFP,61,900,0.25,C1,6,0.005307386112339673,485,515
GFP,61,900,0.25,C2,5,0.004422821760283061,485,515
GFP,61,900,0.25,C3,7,0.006191950464396285,485,515
GFP,61,900,0.25,C4,7,0.006191950464396285,485,515
GFP,61,900,0.25,C5,31,0.027421494913754972,485,515
GFP,61,900,0.25,C6,8,0.007076514816452897,485,515
GFP,61,900,0.25,C7,10,0.008845643520566122,485,515
GFP,61,900,0.25,C8,5,0.004422821760283061,485,515
GFP,61,900,0.25,C9,7,0.006191950464396285,485,515
GFP,61,900,0.25,C10,3,0.0026536930561698365,485,515
GFP,61,900,0.25,D1,8,0.007076514816452897,485,515
GFP,61,900,0.25,D2,8,0.007076514816452897,485,515
GFP,61,900,0.25,D3,7,0.006191950464396285,485,515
GFP,61,900,0.25,D4,2,0.0017691287041132243,485,515
GFP,61,900,0.25,D5,9,0.00796107916850951,485,515
GFP,61,900,0.25,D6,10,0.008845643520566122,485,515
GFP,61,900,0.25,D7,5,0.004422821760283061,485,515
GFP,61,900,0.25,D8,8,0.007076514816452897,485,515
GFP,61,900,0.25,D9,2,0.0017691287041132243,485,515
GFP,61,900,0.25,D10,7,0.006191950464396285,485,515
GFP,61,900,0.25,E1,10,0.008845643520566122,485,515
GFP,61,900,0.25,E2,6,0.005307386112339673,485,515
GFP,61,900,0.25,E3,4,0.0035382574082264487,485,515
GFP,61,900,0.25,E4,9,0.00796107916850951,485,515
GFP,61,900,0.25,E5,7,0.006191950464396285,485,515
GFP,61,900,0.25,E6,17,0.015037593984962405,485,515
GFP,61,900,0.25,E7,12,0.010614772224679346,485,515
GFP,61,900,0.25,E8,6,0.005307386112339673,485,515
GFP,61,900,0.25,E9,9,0.00796107916850951,485,515
